"Request Source	Country Code	Asset Id	Originating System ID"
"FEDORA	AD	9923880076701921	oai:bir.brandeis.edu:10192/32311"
"FEDORA	AE	9923879922401921	oai:bir.brandeis.edu:10192/32320"
"FEDORA	AE	9923879931301921	oai:bir.brandeis.edu:10192/34131"
"FEDORA	AE	9923879934901921	oai:bir.brandeis.edu:10192/28572"
"FEDORA	AE	9923879938301921	oai:bir.brandeis.edu:10192/30598"
"FEDORA	AE	9923879940401921	oai:bir.brandeis.edu:10192/13"
"FEDORA	AE	9923879941201921	oai:bir.brandeis.edu:10192/32252"
"FEDORA	AE	9923879948701921	oai:bir.brandeis.edu:10192/31815"
"FEDORA	AE	9923879952001921	oai:bir.brandeis.edu:10192/25154"
"FEDORA	AE	9923879958301921	oai:bir.brandeis.edu:10192/24710"
"FEDORA	AE	9923879958901921	oai:bir.brandeis.edu:10192/26315"
"FEDORA	AE	9923879960001921	oai:bir.brandeis.edu:10192/24061"
"FEDORA	AE	9923879967501921	oai:bir.brandeis.edu:10192/25111"
"FEDORA	AE	9923879972401921	oai:bir.brandeis.edu:10192/30533"
"FEDORA	AE	9923879972801921	oai:bir.brandeis.edu:10192/24260"
"FEDORA	AE	9923879974001921	oai:bir.brandeis.edu:10192/29"
"FEDORA	AE	9923879975001921	oai:bir.brandeis.edu:10192/32048"
"FEDORA	AE	9923879975401921	oai:bir.brandeis.edu:10192/32273"
"FEDORA	AE	9923879985401921	oai:bir.brandeis.edu:10192/33775"
"FEDORA	AE	9923879988501921	oai:bir.brandeis.edu:10192/25310"
"FEDORA	AE	9923879990001921	oai:bir.brandeis.edu:10192/24533"
"FEDORA	AE	9923880013501921	oai:bir.brandeis.edu:10192/27710"
"FEDORA	AE	9923880013601921	oai:bir.brandeis.edu:10192/23859"
"FEDORA	AE	9923880015201921	oai:bir.brandeis.edu:10192/26326"
"FEDORA	AE	9923880016401921	oai:bir.brandeis.edu:10192/24386"
"FEDORA	AE	9923880019201921	oai:bir.brandeis.edu:10192/26"
"FEDORA	AE	9923880019701921	oai:bir.brandeis.edu:10192/31816"
"FEDORA	AE	9923880031101921	oai:bir.brandeis.edu:10192/25053"
"FEDORA	AE	9923880038201921	oai:bir.brandeis.edu:10192/25120"
"FEDORA	AE	9923880044601921	oai:bir.brandeis.edu:10192/34139"
"FEDORA	AE	9923880050001921	oai:bir.brandeis.edu:10192/26322"
"FEDORA	AE	9923880053901921	oai:bir.brandeis.edu:10192/27100"
"FEDORA	AE	9923880062901921	oai:bir.brandeis.edu:10192/23980"
"FEDORA	AE	9923880063801921	oai:bir.brandeis.edu:10192/25131"
"FEDORA	AE	9923880066001921	oai:bir.brandeis.edu:10192/27590"
"FEDORA	AE	9923880070701921	oai:bir.brandeis.edu:10192/23243"
"FEDORA	AE	9923880076701921	oai:bir.brandeis.edu:10192/32311"
"FEDORA	AE	9923880080401921	oai:bir.brandeis.edu:10192/33914"
"FEDORA	AE	9923880083701921	oai:bir.brandeis.edu:10192/25093"
